"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","177,200","182,200","203,000","168,100","64.69M","-4.88%"
"2024- 10- 01","186,300","172,700","206,000","169,100","83.71M","6.70%"
"2024- 09- 01","174,600","173,600","189,300","144,700","106.09M","0.52%"
"2024- 08- 01","173,700","201,500","202,500","151,600","128.97M","-10.74%"
"2024- 07- 01","194,600","233,500","248,500","185,200","117.38M","-17.72%"
"2024- 06- 01","236,500","189,500","243,000","188,200","65.89M","25.00%"
"2024- 05- 01","189,200","169,000","210,000","169,000","66.31M","8.61%"
"2024- 04- 01","174,200","186,400","191,400","167,000","86.73M","-4.81%"
"2024- 03- 01","183,000","161,000","183,900","154,100","86.95M","17.16%"
"2024- 02- 01","156,200","133,100","166,900","131,700","82.56M","15.96%"
"2024- 01- 01","134,700","139,700","145,400","129,000","65.24M","-4.81%"
"2023- 12- 01","141,500","132,200","143,700","124,500","61.09M","5.68%"
"2023- 11- 01","133,900","117,900","134,400","117,000","62.95M","15.13%"
"2023- 10- 01","116,300","113,000","130,800","113,000","77.87M","1.39%"
"2023- 09- 01","114,700","121,400","124,400","112,300","53.93M","-5.83%"
"2023- 08- 01","121,800","124,000","126,400","111,800","68.92M","-1.30%"
"2023- 07- 01","123,400","115,300","129,000","109,700","74.38M","7.12%"
"2023- 06- 01","115,200","106,000","121,100","106,000","77.97M","6.08%"
"2023- 05- 01","108,600","90,900","113,400","85,000","79.54M","21.34%"
"2023- 04- 01","89,500","89,700","92,500","82,700","76.75M","1.02%"
"2023- 03- 01","88,600","89,400","90,700","76,700","69.88M","-0.89%"
"2023- 02- 01","89,400","91,200","95,000","88,500","49.55M","1.02%"
"2023- 01- 01","88,500","75,100","92,800","73,100","55.80M","18.00%"
"2022- 12- 01","75,000","87,300","87,300","74,700","49.74M","-11.76%"
