"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 26","2,626.65","2,610.70","2,632.18","2,608.90","","0.05%"
"2024- 11- 25","2,625.26","2,715.10","2,721.43","2,615.70","","-3.22%"
"2024- 11- 22","2,712.55","2,669.84","2,712.91","2,667.38","","1.61%"
"2024- 11- 21","2,669.69","2,650.19","2,673.86","2,647.95","","0.74%"
"2024- 11- 20","2,650.05","2,631.80","2,655.50","2,618.70","","0.70%"
"2024- 11- 19","2,631.68","2,612.29","2,639.69","2,610.25","","0.75%"
"2024- 11- 18","2,612.20","2,561.59","2,615.17","2,561.59","","1.99%"
"2024- 11- 15","2,561.24","2,566.54","2,576.10","2,554.58","","-0.19%"
"2024- 11- 14","2,566.19","2,573.91","2,581.61","2,536.90","","-0.29%"
"2024- 11- 13","2,573.78","2,597.41","2,618.97","2,573.00","","-0.90%"
"2024- 11- 12","2,597.27","2,620.31","2,627.24","2,589.80","","-0.88%"
"2024- 11- 11","2,620.20","2,684.81","2,686.51","2,610.62","","-2.37%"
"2024- 11- 08","2,683.77","2,707.37","2,710.51","2,680.36","","-0.86%"
"2024- 11- 07","2,706.99","2,659.37","2,710.20","2,643.50","","1.80%"
"2024- 11- 06","2,659.24","2,743.88","2,749.81","2,652.44","","-3.07%"
"2024- 11- 05","2,743.59","2,736.59","2,750.06","2,724.75","","0.26%"
"2024- 11- 04","2,736.39","2,734.11","2,748.30","2,729.79","","0.05%"
"2024- 11- 01","2,735.16","2,742.50","2,762.30","2,733.20","","-0.32%"
"2024- 10- 31","2,743.80","2,787.75","2,790.41","2,731.65","","-1.52%"
"2024- 10- 30","2,786.19","2,775.01","2,790.10","2,770.65","","0.40%"
"2024- 10- 29","2,775.13","2,743.70","2,775.89","2,739.82","","1.21%"
"2024- 10- 28","2,741.98","2,734.85","2,746.07","2,724.72","","-0.21%"
