"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","27.74","28.97","30.44","27.10","1.29K","-4.29%"
"2024- 10- 01","28.98","28.50","30.37","27.32","66.52K","2.23%"
"2024- 09- 01","28.35","28.02","28.55","25.75","38.29K","0.66%"
"2024- 08- 01","28.17","30.03","30.03","26.80","57.69K","-5.40%"
"2024- 07- 01","29.78","31.52","33.72","28.60","81.89K","-6.51%"
"2024- 06- 01","31.85","30.70","32.19","30.52","43.61K","3.86%"
"2024- 05- 01","30.67","29.34","31.49","29.34","62.20K","4.49%"
"2024- 04- 01","29.35","28.23","29.98","27.65","23.54K","5.66%"
"2024- 03- 01","27.78","26.28","27.85","25.35","10.05K","4.64%"
"2024- 02- 01","26.55","27.22","28.14","26.15","8.29K","-1.59%"
"2024- 01- 01","26.98","26.69","28.45","26.33","13.25K","-0.14%"
"2023- 12- 01","27.01","26.12","27.09","25.69","5.06K","2.97%"
"2023- 11- 01","26.24","25.09","26.91","25.09","27.14K","5.07%"
