"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","81.52","74.00","82.39","73.91","42.38M","10.28%"
"2024- 10- 01","73.92","73.20","76.71","70.61","62.21M","1.25%"
"2024- 09- 01","73.01","71.66","74.88","70.12","56.77M","1.29%"
"2024- 08- 01","72.08","67.83","72.14","64.33","50.60M","6.50%"
"2024- 07- 01","67.68","60.38","70.01","59.46","80.46M","12.31%"
"2024- 06- 01","60.26","59.30","61.10","58.28","41.75M","2.08%"
"2024- 05- 01","59.03","59.89","62.90","58.53","53.94M","-1.37%"
"2024- 04- 01","59.85","62.97","64.25","58.10","70.83M","-5.15%"
"2024- 03- 01","63.10","56.29","63.52","55.51","95.92M","12.28%"
"2024- 02- 01","56.20","57.54","57.74","54.90","48.51M","-2.72%"
"2024- 01- 01","57.77","58.00","60.72","55.44","49.81M","-0.64%"
"2023- 12- 01","58.14","55.75","58.37","53.62","52.14M","4.12%"
"2023- 11- 01","55.84","49.79","56.15","48.47","47.29M","12.58%"
"2023- 10- 01","49.60","48.53","53.30","46.88","57.19M","2.08%"
"2023- 09- 01","48.59","52.65","52.72","47.88","42.28M","-7.41%"
"2023- 08- 01","52.48","50.31","54.15","49.10","56.98M","3.94%"
"2023- 07- 01","50.49","49.68","52.55","48.65","77.51M","1.28%"
"2023- 06- 01","49.85","55.20","58.03","48.95","98.28M","-9.94%"
"2023- 05- 01","55.35","55.24","55.71","52.99","46.36M","-0.04%"
"2023- 04- 01","55.37","54.37","57.99","53.85","56.76M","1.28%"
"2023- 03- 01","54.67","55.79","56.71","51.10","61.25M","-2.48%"
"2023- 02- 01","56.06","60.19","60.99","55.98","37.24M","-6.86%"
"2023- 01- 01","60.19","61.53","63.90","55.90","55.73M","-1.89%"
"2022- 12- 01","61.35","68.57","69.22","60.06","42.78M","-10.39%"
