"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","418.79","408.71","429.32","405.63","384.26M","3.06%"
"2024- 10- 01","406.35","428.45","438.50","406.30","440.77M","-5.57%"
"2024- 09- 01","430.30","417.91","441.85","400.80","376.97M","3.15%"
"2024- 08- 01","417.14","420.79","427.46","385.58","451.92M","-0.29%"
"2024- 07- 01","418.35","448.66","468.35","412.21","440.45M","-6.40%"
"2024- 06- 01","446.95","415.52","456.17","408.92","342.37M","7.67%"
"2024- 05- 01","415.13","392.61","433.60","390.31","413.81M","6.63%"
"2024- 04- 01","389.33","423.95","429.37","388.03","441.10M","-7.46%"
"2024- 03- 01","420.72","411.27","430.82","398.39","426.45M","1.71%"
"2024- 02- 01","413.64","401.83","420.82","397.22","444.20M","4.04%"
"2024- 01- 01","397.58","373.86","415.32","366.50","528.49M","5.73%"
"2023- 12- 01","376.04","376.76","378.16","362.90","522.08M","-0.76%"
"2023- 11- 01","378.91","339.79","384.30","339.65","564.17M","12.07%"
"2023- 10- 01","338.11","316.28","346.20","311.21","540.96M","7.08%"
"2023- 09- 01","315.75","331.31","340.86","309.45","416.77M","-3.66%"
"2023- 08- 01","327.76","335.19","338.54","311.55","479.67M","-2.43%"
"2023- 07- 01","335.92","339.19","366.78","327.00","666.96M","-1.36%"
"2023- 06- 01","340.54","325.93","351.47","322.50","547.75M","3.70%"
"2023- 05- 01","328.39","306.97","335.94","303.40","600.86M","6.88%"
"2023- 04- 01","307.26","286.52","308.93","275.37","551.52M","6.58%"
"2023- 03- 01","288.30","250.76","289.27","245.61","747.75M","15.59%"
"2023- 02- 01","249.42","248.00","276.76","245.47","615.54M","0.65%"
"2023- 01- 01","247.81","243.08","249.83","219.35","666.17M","3.33%"
"2022- 12- 01","239.82","253.87","263.92","233.87","591.37M","-6.00%"
