"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","58,200","58,300","59,400","50,300","492.41M","-1.69%"
"2024- 10- 01","59,200","60,500","61,900","55,700","525.76M","-3.74%"
"2024- 09- 01","61,500","74,500","74,700","61,500","506.04M","-17.23%"
"2024- 08- 01","74,300","86,000","86,100","70,200","393.21M","-11.44%"
"2024- 07- 01","83,900","81,500","88,800","80,000","466.61M","2.94%"
"2024- 06- 01","81,500","74,400","82,500","74,200","337.05M","10.88%"
"2024- 05- 01","73,500","77,600","81,500","73,500","411.05M","-5.16%"
"2024- 04- 01","77,500","83,200","86,000","75,100","470.82M","-5.95%"
"2024- 03- 01","82,400","74,300","82,500","71,700","435.84M","12.26%"
"2024- 02- 01","73,400","73,000","75,500","72,000","291.95M","0.96%"
"2024- 01- 01","72,700","78,200","79,800","70,700","361.93M","-7.39%"
"2023- 12- 01","78,500","72,400","78,500","71,100","250.85M","7.83%"
"2023- 11- 01","72,800","67,500","73,400","67,300","267.81M","8.82%"
"2023- 10- 01","66,900","67,400","70,500","66,000","279.99M","-2.19%"
"2023- 09- 01","68,400","66,800","72,900","66,700","278.12M","2.24%"
"2023- 08- 01","66,900","70,100","71,200","65,800","254.86M","-4.15%"
"2023- 07- 01","69,800","72,700","73,600","68,100","299.15M","-3.32%"
"2023- 06- 01","72,200","70,900","73,400","70,000","260.70M","1.12%"
"2023- 05- 01","71,400","66,000","72,500","63,600","262.39M","9.01%"
"2023- 04- 01","65,500","64,000","66,600","62,300","286.75M","2.34%"
"2023- 03- 01","64,000","60,900","64,000","59,000","267.11M","5.61%"
"2023- 02- 01","60,600","62,600","64,000","60,200","254.24M","-0.66%"
"2023- 01- 01","61,000","55,500","65,000","54,500","298.53M","10.31%"
"2022- 12- 01","55,300","63,100","63,200","55,300","228.50M","-11.09%"
