"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","201.45","198.95","215.86","194.32","811.31M","8.07%"
"2024- 10- 01","186.40","184.90","195.61","180.25","734.07M","0.04%"
"2024- 09- 01","186.33","177.55","195.37","171.16","765.13M","4.39%"
"2024- 08- 01","178.50","189.29","190.60","151.61","971.02M","-4.54%"
"2024- 07- 01","186.98","193.49","201.20","176.80","868.12M","-3.24%"
"2024- 06- 01","193.25","177.70","199.84","175.92","813.28M","9.53%"
"2024- 05- 01","176.44","181.63","191.70","173.87","892.34M","0.82%"
"2024- 04- 01","175.00","180.79","189.77","166.32","917.17M","-2.98%"
"2024- 03- 01","180.38","176.75","181.70","171.47","702.06M","2.05%"
"2024- 02- 01","176.76","155.87","177.22","155.62","1.05B","13.89%"
"2024- 01- 01","155.20","151.54","161.73","144.05","954.01M","2.15%"
"2023- 12- 01","151.94","146.00","155.63","142.81","931.32M","4.00%"
"2023- 11- 01","146.09","133.96","149.26","133.71","1.03B","9.77%"
"2023- 10- 01","133.09","127.28","134.48","118.35","1.22B","4.70%"
"2023- 09- 01","127.12","139.46","145.86","123.04","1.12B","-7.89%"
"2023- 08- 01","138.01","133.55","143.63","126.41","1.21B","3.24%"
"2023- 07- 01","133.68","130.82","136.65","125.92","1.06B","2.55%"
"2023- 06- 01","130.36","120.69","131.49","119.93","1.24B","8.11%"
"2023- 05- 01","120.58","104.95","122.92","101.15","1.43B","14.35%"
"2023- 04- 01","105.45","102.30","110.86","97.71","1.22B","2.09%"
"2023- 03- 01","103.29","93.87","103.49","88.12","1.35B","9.61%"
"2023- 02- 01","94.23","102.53","114.00","92.32","1.36B","-8.63%"
"2023- 01- 01","103.13","85.46","103.49","81.43","1.52B","22.77%"
"2022- 12- 01","84.00","96.99","97.23","81.69","1.55B","-12.99%"
