"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","232.87","220.85","233.24","219.72","783.67M","3.08%"
"2024- 10- 01","225.91","229.52","237.49","221.33","930.84M","-3.04%"
"2024- 09- 01","233.00","228.55","233.09","213.92","1.23B","1.75%"
"2024- 08- 01","229.00","224.37","232.92","196.00","1.12B","3.12%"
"2024- 07- 01","222.08","212.09","237.23","211.92","1.15B","5.44%"
"2024- 06- 01","210.62","192.90","220.20","192.15","1.72B","9.56%"
"2024- 05- 01","192.25","169.58","193.00","169.11","1.34B","12.87%"
"2024- 04- 01","170.33","171.19","178.36","164.07","1.25B","-0.67%"
"2024- 03- 01","171.48","179.55","180.53","168.49","1.43B","-5.13%"
"2024- 02- 01","180.75","183.99","191.05","179.25","1.16B","-1.98%"
"2024- 01- 01","184.40","187.15","196.38","180.17","1.19B","-4.22%"
"2023- 12- 01","192.53","190.33","199.62","187.45","1.06B","1.36%"
"2023- 11- 01","189.95","171.00","192.93","170.12","1.10B","11.23%"
"2023- 10- 01","170.77","171.22","182.34","165.67","1.17B","-0.26%"
"2023- 09- 01","171.21","189.49","189.98","167.62","1.34B","-8.87%"
"2023- 08- 01","187.87","196.24","196.73","171.96","1.32B","-4.37%"
"2023- 07- 01","196.45","193.78","198.23","186.60","996.37M","1.28%"
"2023- 06- 01","193.97","177.70","194.48","176.93","1.30B","9.43%"
"2023- 05- 01","177.25","169.28","179.35","164.31","1.28B","4.46%"
"2023- 04- 01","169.68","164.27","169.85","159.78","969.78M","2.90%"
"2023- 03- 01","164.90","146.83","165.00","143.90","1.52B","11.86%"
"2023- 02- 01","147.41","143.97","157.38","141.32","1.31B","2.16%"
"2023- 01- 01","144.29","130.28","147.23","124.17","1.44B","11.05%"
"2022- 12- 01","129.93","148.21","150.92","125.87","1.68B","-12.23%"
