"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","79,900","80,100","88,900","61,900","21.77M","1.14%"
"2024- 10- 01","79,000","88,000","94,300","75,900","14.98M","-10.84%"
"2024- 09- 01","88,600","85,800","94,100","72,600","21.12M","3.50%"
"2024- 08- 01","85,600","93,000","94,300","80,400","20.53M","-7.26%"
"2024- 07- 01","92,300","90,500","107,700","89,100","34.34M","2.44%"
"2024- 06- 01","90,100","93,800","109,200","88,700","26.41M","-4.56%"
"2024- 05- 01","94,400","105,000","106,800","88,400","25.99M","-11.11%"
"2024- 04- 01","106,200","125,400","131,400","100,600","28.99M","-16.11%"
"2024- 03- 01","126,600","124,800","136,000","117,000","25.30M","2.43%"
"2024- 02- 01","123,600","100,200","138,200","99,400","50.67M","23.11%"
"2024- 01- 01","100,400","129,600","133,000","96,000","37.42M","-22.41%"
"2023- 12- 01","129,400","146,400","148,400","120,600","52.42M","-13.50%"
"2023- 11- 01","149,600","125,400","185,600","118,000","65.73M","20.65%"
"2023- 10- 01","124,000","178,000","179,000","122,000","43.96M","-31.19%"
"2023- 09- 01","180,200","246,800","246,800","174,000","61.14M","-28.32%"
"2023- 08- 01","251,400","255,000","258,200","203,000","100.47M","4.14%"
"2023- 07- 01","241,400","154,400","307,800","153,800","153.38M","60.08%"
"2023- 06- 01","150,800","113,600","159,800","111,000","95.54M","33.93%"
"2023- 05- 01","112,600","150,000","155,600","99,800","98.64M","-22.88%"
"2023- 04- 01","146,000","101,600","164,000","94,500","186.26M","46.44%"
"2023- 03- 01","99,700","57,300","106,200","54,400","211.20M","74.61%"
"2023- 02- 01","57,100","24,700","59,000","24,700","178.33M","132.49%"
"2023- 01- 01","24,560","21,200","25,980","21,120","37.20M","19.22%"
"2022- 12- 01","20,600","27,553","27,864","20,540","57.52M","-24.22%"
