"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","140,400","166,200","189,100","120,400","14.10M","-17.65%"
"2024- 10- 01","170,500","183,400","194,500","155,000","10.23M","-7.59%"
"2024- 09- 01","184,500","169,000","193,900","148,700","13.17M","9.63%"
"2024- 08- 01","168,300","180,000","191,900","163,100","14.08M","-6.45%"
"2024- 07- 01","179,900","187,500","202,000","170,600","12.85M","-1.69%"
"2024- 06- 01","183,000","189,400","224,000","175,200","13.25M","-4.34%"
"2024- 05- 01","191,300","236,500","239,000","181,500","10.84M","-19.79%"
"2024- 04- 01","238,500","272,000","280,000","215,000","12.42M","-12.96%"
"2024- 03- 01","274,000","265,500","298,500","243,500","15.64M","2.81%"
"2024- 02- 01","266,500","213,500","273,000","211,000","19.86M","24.82%"
"2024- 01- 01","213,500","288,000","323,000","213,500","23.92M","-25.87%"
"2023- 12- 01","288,000","269,500","354,000","259,000","28.52M","5.11%"
"2023- 11- 01","274,000","198,900","320,000","187,600","30.92M","39.65%"
"2023- 10- 01","196,200","249,500","261,500","195,000","17.50M","-22.45%"
"2023- 09- 01","253,000","320,500","320,500","243,500","15.22M","-22.03%"
"2023- 08- 01","324,500","425,500","448,500","298,500","27.26M","-22.55%"
"2023- 07- 01","419,000","254,000","584,000","250,500","72.58M","68.27%"
"2023- 06- 01","249,000","249,500","287,500","238,000","18.88M","0.00%"
"2023- 05- 01","249,000","268,500","276,500","212,500","22.13M","-6.74%"
"2023- 04- 01","267,000","231,000","315,500","220,000","59.60M","18.93%"
"2023- 03- 01","224,500","166,600","262,500","158,100","81.80M","35.00%"
"2023- 02- 01","166,300","101,000","169,500","100,800","55.37M","66.63%"
"2023- 01- 01","99,800","93,100","107,300","90,100","11.06M","8.36%"
"2022- 12- 01","92,100","116,100","117,000","90,900","15.08M","-19.07%"
