"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","136.02","134.70","152.88","134.66","3.94B","2.46%"
"2024- 10- 01","132.76","121.76","144.42","115.14","5.63B","9.32%"
"2024- 09- 01","121.44","116.01","127.67","100.95","6.27B","1.73%"
"2024- 08- 01","119.37","117.53","131.26","90.69","8.11B","2.01%"
"2024- 07- 01","117.02","123.47","136.15","102.54","6.41B","-5.28%"
"2024- 06- 01","123.54","113.62","140.76","112.00","7.44B","12.69%"
"2024- 05- 01","109.63","85.08","115.82","81.25","9.65B","26.89%"
"2024- 04- 01","86.40","90.30","92.22","75.61","10.07B","-4.38%"
"2024- 03- 01","90.36","80.00","97.40","79.44","12.15B","14.21%"
"2024- 02- 01","79.11","62.10","82.39","61.65","11.08B","28.58%"
"2024- 01- 01","61.53","49.24","63.49","47.32","9.71B","24.24%"
"2023- 12- 01","49.52","46.53","50.43","45.01","7.41B","5.88%"
"2023- 11- 01","46.77","40.88","50.55","40.87","9.15B","14.69%"
"2023- 10- 01","40.78","44.03","47.61","39.23","10.14B","-6.25%"
"2023- 09- 01","43.50","49.76","49.80","40.98","8.58B","-11.87%"
"2023- 08- 01","49.35","46.46","50.27","40.31","13.64B","5.62%"
"2023- 07- 01","46.73","42.52","48.09","41.35","8.71B","10.47%"
"2023- 06- 01","42.30","38.49","43.99","37.36","10.53B","11.81%"
"2023- 05- 01","37.83","27.84","41.94","27.24","11.70B","36.34%"
"2023- 04- 01","27.75","27.51","28.11","26.22","7.44B","-0.10%"
"2023- 03- 01","27.78","23.19","27.83","22.30","11.27B","19.65%"
"2023- 02- 01","23.22","19.69","23.89","19.61","10.39B","18.83%"
"2023- 01- 01","19.54","14.85","20.63","14.03","9.45B","33.69%"
"2022- 12- 01","14.61","17.00","18.79","13.88","8.95B","-13.64%"
