"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","107,200","115,100","126,300","93,500","8.62M","-9.23%"
"2024- 10- 01","118,100","110,500","120,600","91,500","6.92M","4.05%"
"2024- 09- 01","113,500","94,500","117,900","82,900","5.76M","21.00%"
"2024- 08- 01","93,800","113,700","117,200","85,500","5.55M","-17.50%"
"2024- 07- 01","113,700","135,500","153,900","109,200","6.19M","-15.96%"
"2024- 06- 01","135,300","155,700","177,000","134,100","5.61M","-13.49%"
"2024- 05- 01","156,400","162,300","166,400","146,500","4.62M","-4.58%"
"2024- 04- 01","163,900","174,100","183,500","140,600","7.06M","-5.86%"
"2024- 03- 01","174,100","171,000","199,000","151,000","10.33M","2.59%"
"2024- 02- 01","169,700","143,500","175,300","132,100","8.83M","18.26%"
"2024- 01- 01","143,500","204,500","217,000","143,000","18.16M","-29.66%"
"2023- 12- 01","204,000","176,300","207,500","168,000","14.67M","15.71%"
"2023- 11- 01","176,300","131,500","191,800","127,900","14.66M","35.20%"
"2023- 10- 01","130,400","169,400","172,000","129,900","8.83M","-24.80%"
"2023- 09- 01","173,400","213,500","215,000","165,800","7.78M","-19.35%"
"2023- 08- 01","215,000","263,500","263,500","198,100","16.69M","-16.50%"
"2023- 07- 01","257,500","245,500","318,000","221,000","37.27M","5.97%"
"2023- 06- 01","243,000","270,500","288,000","235,500","12.86M","-10.00%"
"2023- 05- 01","270,000","266,500","274,500","233,000","12.39M","1.89%"
"2023- 04- 01","265,000","340,000","349,500","258,000","34.14M","-15.47%"
"2023- 03- 01","313,500","269,000","314,000","219,000","34.15M","19.66%"
"2023- 02- 01","262,000","208,500","285,000","206,000","19.57M","27.18%"
"2023- 01- 01","206,000","176,500","214,500","172,800","9.13M","18.73%"
"2022- 12- 01","173,500","224,100","227,500","168,700","9.65M","-21.17%"
