"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 26","2,516.39","2,521.39","2,526.62","2,512.21","349.53M","-0.78%"
"2024- 11- 25","2,536.09","2,524.11","2,541.76","2,517.98","550.42M","1.39%"
"2024- 11- 22","2,501.24","2,493.42","2,511.23","2,492.21","543.52M","0.83%"
"2024- 11- 21","2,480.63","2,474.62","2,496.97","2,474.62","451.12M","-0.07%"
"2024- 11- 20","2,482.29","2,475.76","2,489.15","2,471.79","408.79M","0.42%"
"2024- 11- 19","2,471.95","2,469.13","2,479.39","2,465.15","410.86M","0.12%"
"2024- 11- 18","2,469.07","2,440.31","2,480.01","2,437.53","443.93M","2.16%"
"2024- 11- 15","2,416.86","2,413.05","2,433.18","2,390.56","623.33M","-0.08%"
"2024- 11- 14","2,418.86","2,430.26","2,441.43","2,410.93","639.99M","0.07%"
"2024- 11- 13","2,417.08","2,468.27","2,478.87","2,415.77","619.18M","-2.64%"
"2024- 11- 12","2,482.57","2,527.94","2,532.44","2,481.53","735.81M","-1.94%"
"2024- 11- 11","2,531.66","2,562.05","2,562.05","2,525.56","572.20M","-1.15%"
"2024- 11- 08","2,561.15","2,586.70","2,593.15","2,553.42","448.73M","-0.14%"
"2024- 11- 07","2,564.63","2,557.23","2,579.81","2,540.48","465.15M","0.04%"
"2024- 11- 06","2,563.51","2,591.90","2,592.75","2,544.04","548.51M","-0.52%"
"2024- 11- 05","2,576.88","2,570.24","2,586.73","2,564.66","310.88M","-0.47%"
"2024- 11- 04","2,588.97","2,549.04","2,588.97","2,542.68","373.94M","1.83%"
"2024- 11- 01","2,542.36","2,542.96","2,559.30","2,536.84","319.85M","-0.54%"
"2024- 10- 31","2,556.15","2,575.24","2,579.65","2,552.36","406.61M","-1.45%"
"2024- 10- 30","2,593.79","2,606.99","2,613.47","2,586.88","487.36M","-0.92%"
"2024- 10- 29","2,617.80","2,606.94","2,617.80","2,595.86","363.29M","0.21%"
"2024- 10- 28","2,612.43","2,588.45","2,612.96","2,587.20","333.74M","1.13%"
