"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","2,519.29","2,549.04","2,593.15","2,390.56","8.89B","-1.44%"
"2024- 10- 01","2,556.15","2,566.55","2,635.32","2,552.36","7.74B","-1.43%"
"2024- 09- 01","2,593.27","2,683.80","2,695.59","2,491.30","6.53B","-3.03%"
"2024- 08- 01","2,674.31","2,787.27","2,794.11","2,386.96","8.69B","-3.48%"
"2024- 07- 01","2,770.69","2,792.96","2,896.43","2,703.86","10.79B","-0.97%"
"2024- 06- 01","2,797.82","2,657.81","2,812.62","2,657.81","12.19B","6.12%"
"2024- 05- 01","2,636.52","2,693.22","2,773.46","2,635.44","10.28B","-2.06%"
"2024- 04- 01","2,692.06","2,766.24","2,769.87","2,553.55","10.64B","-1.99%"
"2024- 03- 01","2,746.63","2,664.52","2,779.40","2,630.16","10.17B","3.95%"
"2024- 02- 01","2,642.36","2,491.93","2,694.80","2,491.93","10.03B","5.82%"
"2024- 01- 01","2,497.09","2,645.47","2,675.80","2,429.12","12.21B","-5.96%"
"2023- 12- 01","2,655.28","2,520.49","2,655.28","2,481.00","8.54B","4.73%"
"2023- 11- 01","2,535.29","2,292.89","2,535.29","2,288.64","9.19B","11.30%"
"2023- 10- 01","2,277.99","2,435.78","2,479.82","2,273.97","9.78B","-7.59%"
"2023- 09- 01","2,465.07","2,551.93","2,611.00","2,445.51","7.81B","-3.57%"
"2023- 08- 01","2,556.27","2,644.34","2,668.21","2,482.06","12.29B","-2.90%"
"2023- 07- 01","2,632.58","2,580.89","2,646.71","2,515.07","12.04B","2.66%"
"2023- 06- 01","2,564.28","2,572.56","2,650.45","2,541.72","12.52B","-0.50%"
"2023- 05- 01","2,577.12","2,504.01","2,596.31","2,455.99","13.83B","3.02%"
"2023- 04- 01","2,501.53","2,485.81","2,582.23","2,458.50","16.70B","1.00%"
"2023- 03- 01","2,476.86","2,414.61","2,481.24","2,346.11","10.08B","2.65%"
"2023- 02- 01","2,412.85","2,446.03","2,487.35","2,383.76","9.66B","-0.50%"
"2023- 01- 01","2,425.08","2,249.95","2,497.40","2,180.67","9.42B","8.44%"
"2022- 12- 01","2,236.40","2,501.43","2,501.43","2,236.38","8.44B","-9.55%"
