"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 01","338.59","252.04","361.89","238.96","1.93B","35.52%"
"2024- 10- 01","249.85","262.67","273.54","212.11","1.91B","-4.50%"
"2024- 09- 01","261.63","215.26","264.86","209.64","1.61B","22.19%"
"2024- 08- 01","214.11","227.69","231.87","182.00","1.62B","-7.74%"
"2024- 07- 01","232.07","201.02","271.00","200.85","2.95B","17.28%"
"2024- 06- 01","197.88","178.13","203.20","167.41","1.41B","11.12%"
"2024- 05- 01","178.08","182.00","187.56","167.75","1.67B","-2.84%"
"2024- 04- 01","183.28","176.17","198.87","138.80","2.48B","4.26%"
"2024- 03- 01","175.79","200.52","204.52","160.51","1.90B","-12.92%"
"2024- 02- 01","201.88","188.50","205.60","175.01","2.02B","7.79%"
"2024- 01- 01","187.29","250.08","251.25","180.06","2.34B","-24.63%"
"2023- 12- 01","248.48","233.14","265.13","228.20","2.30B","3.50%"
"2023- 11- 01","240.08","204.04","252.75","197.85","2.65B","19.54%"
"2023- 10- 01","200.84","244.81","268.94","194.07","2.59B","-19.73%"
"2023- 09- 01","250.22","257.26","278.98","234.58","2.44B","-3.05%"
"2023- 08- 01","258.08","266.26","266.47","212.36","2.50B","-3.50%"
"2023- 07- 01","267.43","276.49","299.29","254.12","2.39B","2.16%"
"2023- 06- 01","261.77","202.59","276.99","199.37","3.44B","28.36%"
"2023- 05- 01","203.93","163.17","204.48","158.83","2.68B","24.11%"
"2023- 04- 01","164.31","199.91","202.69","152.37","2.51B","-20.80%"
"2023- 03- 01","207.46","206.21","207.79","163.91","3.31B","0.85%"
"2023- 02- 01","205.71","173.89","217.65","169.93","3.63B","18.76%"
"2023- 01- 01","173.22","118.47","180.68","101.81","3.90B","40.62%"
"2022- 12- 01","123.18","197.08","198.92","108.24","2.94B","-36.73%"
