"계정항목별",2024.11.12,2024.11.13,2024.11.14,2024.11.15,2024.11.18,2024.11.19,2024.11.20,2024.11.21,2024.11.22,2024.11.25
"원/미국달러(매매기준율)",1395.30,1401.10,1407.30,1406.40,1402.80,1392.60,1392.00,1391.60,1398.10,1400.50
"원/위안(매매기준율)",193.98,193.37,194.42,193.91,193.47,192.35,192.41,192.28,192.85,192.98
"원/일본엔(100엔)",907.60,906.60,905.60,899.61,906.93,901.39,900.56,895.87,906.00,907.62
"원/유로",1486.90,1487.90,1486.53,1481.08,1477.99,1475.39,1475.10,1467.37,1464.51,1467.23
"원/영국파운드",1795.33,1785.42,1788.47,1781.21,1770.26,1764.91,1765.40,1760.51,1759.86,1762.60
"원/캐나다달러",1002.05,1004.37,1005.61,1000.04,995.99,993.19,997.49,995.89,1000.39,1004.55
"원/스위스프랑",1584.31,1588.82,1588.37,1579.69,1579.02,1576.94,1577.61,1574.56,1576.83,1571.21
"원/호주달러",917.27,914.85,914.11,907.55,906.42,905.61,909.53,905.65,910.09,916.21
"원/뉴질랜드달러",832.16,829.80,827.77,822.60,822.67,820.17,823.37,817.98,819.22,820.62
"원/홍콩달러",179.44,180.13,180.86,180.74,180.15,178.91,178.84,178.80,179.63,179.93
"원/대만달러",43.07,43.18,43.35,43.21,43.18,42.90,43.04,42.78,42.99,42.99
"원/몽골투그릭",0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
"원/카자흐스탄텡게",2.82,2.83,2.86,2.84,2.82,2.79,2.80,2.80,2.82,2.81
"원/태국바트",40.40,40.24,40.32,40.19,40.28,40.25,40.36,40.16,40.26,40.64
"원/싱가포르달러",1046.34,1046.96,1048.42,1045.03,1045.03,1040.15,1040.48,1036.19,1038.59,1042.74
"원/인도네시아루피아(100루피아)",8.90,8.88,8.92,8.87,8.85,8.79,8.79,8.77,8.78,8.82
"원/말레이지아링깃",316.39,315.78,316.39,313.89,313.79,310.81,311.20,311.22,313.12,313.49
"원/필리핀페소",23.79,23.86,23.96,23.90,23.88,23.72,23.65,23.58,23.71,23.75
"원/베트남동(100동)",5.51,5.53,5.55,5.54,5.53,5.48,5.48,5.47,5.50,5.51
"원/브루나이달러",1046.34,1046.96,1048.42,1045.03,1045.03,1040.15,1040.48,1036.19,1038.59,1042.74
"원/인도루피",16.53,16.60,16.67,16.65,16.62,16.50,16.49,16.49,16.55,16.59
"원/파키스탄루피",5.02,5.04,5.06,5.06,5.05,5.01,5.01,5.00,5.03,5.04
"원/방글라데시타카",11.68,11.72,11.78,11.77,11.74,11.65,11.65,11.65,11.70,11.72
"원/멕시코 페소",68.56,68.03,68.57,68.91,68.91,68.88,69.23,68.62,68.46,68.87
"원/브라질 헤알",242.38,243.69,242.36,242.92,242.07,242.28,241.12,241.06,240.43,241.41
"원/아르헨티나페소",1.40,1.40,1.41,1.41,1.40,1.39,1.39,1.39,1.39,1.39
"원/스웨덴크로나",128.65,128.51,128.08,127.88,127.71,127.63,127.49,126.17,126.42,127.64
"원/덴마크크로나",199.33,199.46,199.30,198.56,198.16,197.81,197.76,196.71,196.35,196.73
"원/노르웨이크로나",126.49,126.44,126.33,126.13,126.36,126.57,126.79,125.78,126.26,127.17
"원/러시아루블",14.53,14.26,14.29,14.13,14.03,13.96,13.84,13.83,13.80,13.42
"원/헝가리포린트",3.62,3.62,3.64,3.64,3.62,3.63,3.61,3.58,3.56,3.55
"원/폴란트즈워티",340.85,341.84,342.45,342.59,341.53,341.91,340.39,338.35,337.10,336.48
"원/체코코루나",58.73,58.60,58.78,58.56,58.46,58.33,58.33,58.00,57.75,57.87
"원/사우디아라비아리얄",371.48,372.90,374.53,374.47,373.73,370.96,370.79,370.67,372.37,373.12
"원/카타르리얄",382.84,384.34,386.04,385.79,384.80,381.97,381.68,381.69,383.36,384.11
"원/이스라엘셰켈",372.05,372.82,375.09,375.91,375.29,372.61,371.79,372.36,376.36,377.89
"원/요르단디나르",1967.98,1976.16,1984.91,1983.64,1978.56,1964.17,1961.25,1962.76,1971.93,1975.32
"원/쿠웨이트디나르",4541.25,4556.27,4574.06,4571.13,4560.47,4530.11,4528.01,4525.09,4544.01,4547.37
"원/바레인디나르",3701.16,3716.84,3733.78,3731.79,3721.65,3694.19,3692.50,3691.74,3709.18,3714.95
"원/아랍에미리트디르함",379.88,381.46,383.14,382.90,381.92,379.15,378.98,378.87,380.64,381.30
"원/튀르키예리라",40.65,40.76,40.97,40.72,40.76,40.28,40.34,40.35,40.49,40.55
"원/남아프리카공화국랜드",77.76,77.35,77.19,76.98,77.06,77.55,77.14,76.79,77.21,77.64
"원/이집트파운드",28.34,28.47,28.53,28.49,28.41,28.16,28.10,27.99,28.15,28.18
